gradient1,gradient2,gradient3,gradient4,gradient5
-1.2372521,2.0647497,-0.48654237,-0.27794862,0.11342219
1.0988266,0.9850351,-0.7310826,-0.35566616,0.3561991
-2.265627,3.0667198,-0.680371,-0.051654674,-0.14838329
-2.0325933,2.546895,-0.54332054,0.20064843,-0.23382081
-1.8071041,2.2453368,-0.5092442,0.18661243,-0.25580144
-1.1264535,1.4488995,-0.3137456,0.02617653,-0.11389735
0.34903437,1.2547637,-0.8368332,0.18717845,0.10600763
-0.9250902,1.1295077,-0.12042708,-0.24604511,-0.008455865
-1.3258487,1.5633712,-0.3555666,0.19775988,-0.2014344
-2.5498118,2.6730921,-0.7258137,0.48603743,-0.41654813
-1.7812227,1.9223505,-0.4902559,0.3444134,-0.2878899
0.03218712,0.37716153,0.15007071,0.19901836,-0.16167495
-2.186323,2.0084836,-0.54937184,0.51939106,-0.24291779
-1.1949518,1.4984825,-0.275641,-0.000114363,-0.11424861
-0.73564833,0.89225453,-0.13246165,0.2625284,-0.16216761
-2.7808115,2.6960444,-0.81101584,0.69736224,-0.41838273
-1.263767,1.3176608,-0.38321486,-0.04512266,-0.066653684
-1.99595,2.0746777,-0.5011755,0.48806337,-0.2996429
-0.89688456,1.3306087,-0.10992702,0.23405711,-0.2493063
-0.2710807,1.4772682,-1.0051575,0.46663827,-0.091124885
-2.2279716,1.9728556,-0.513802,0.54762626,-0.29489174
-2.5376062,2.295359,-0.6879707,0.6208349,-0.35318437
-1.1374238,1.4062673,-0.19087459,-0.07855969,-0.048984725
-1.4879597,1.6501836,-0.41390756,0.21245292,-0.23427805
-1.4739587,1.4731506,-0.39074847,0.25011313,-0.22356026
-2.381776,2.3303933,-0.66413486,0.46552962,-0.36457378
-1.8709701,2.2786183,-0.4163141,0.03370069,-0.20933333
-0.70205075,1.2978382,0.20346914,-0.4619531,0.094661176
-1.3036864,1.3674124,-0.3252324,0.14959931,-0.17809866
-1.8946202,1.8101951,-0.4621494,0.2918225,-0.2554438
-1.410901,1.6007268,-0.22866689,-0.16038461,-0.09888476
-2.4553967,-1.069008,-0.62346125,0.37372887,0.30029652
-1.6491485,-0.69861454,-0.587996,0.24485818,0.16889413
-3.0950723,-1.3168454,-0.5670866,0.37291563,-0.070446864
-3.628068,-1.6426005,-0.5283733,-0.2580441,-0.029602917
-2.992837,-1.3910203,-0.74885476,0.16773471,-0.29113892
-1.4962772,-0.6413223,-0.5665785,0.18912646,0.22794048
-2.4264529,-1.048693,-0.6745809,0.32092816,0.039296906
-2.9147885,-1.3871745,-0.61411256,0.12908486,-0.04868812
-1.9048154,-0.8720146,-0.096944116,0.16429563,0.15755917
-2.290095,-1.1353319,-0.5067323,-0.33137694,-0.26536337
-2.0129647,-0.94799596,-0.15778057,-0.16114055,0.12983008
-2.8487005,-1.4573107,-0.7421529,-0.11561482,-0.20154549
-2.1293073,-1.1381023,-0.7152193,-0.18902288,-0.27708802
-3.933099,-2.0932488,-1.2645205,-0.10019411,-0.5099793
-2.1904347,-1.0155687,-0.5260083,-0.517671,-0.2789321
-2.2956645,-1.1940298,-0.6937631,-0.029587785,-0.09918658
-3.5714815,-1.8352052,-1.1182601,-0.08922152,-0.5113981
-2.6426964,-1.2418,-0.73234135,-0.23156019,-0.45755187
-3.4014788,-1.0055983,-0.5854896,0.088333845,-0.21960475
-1.6061265,-0.8558367,-0.5456582,-0.25510743,-0.3490788
-1.9899459,-1.0358698,-0.6310836,-0.40250254,-0.41407874
-4.6438394,-2.5003984,-1.5474925,-0.77650285,-1.0190618
-3.6614478,-1.7860415,-0.8871543,-0.099832356,-0.5617223
-2.6803405,-1.4695727,-0.89227724,-0.25177303,-0.574265
-2.0614822,-1.0119927,-0.2965682,-0.11780565,-0.11847358
-2.9899116,-1.5643378,-0.9091044,-0.5576675,-0.60221845
-1.2600744,-0.4545642,-0.1423999,-0.2650116,-0.08838295
-2.7432947,-1.469945,-0.88393706,-0.29822984,-0.57823986
-1.8506427,-0.90835357,-0.56629103,-0.23162757,-0.37270418
-2.014146,-0.85543406,-0.33089355,-0.5189421,-0.2213261
-3.9761355,-2.0417008,-1.1082178,-0.16382214,-0.68346894
-2.3283153,-1.2180622,-0.711475,-0.1826855,-0.46995968
-2.8959193,-1.586285,-0.96829885,-0.2596472,-0.61324316
-1.461847,-0.6986041,-0.14134125,-0.121742375,-0.08500993
-2.7451518,-1.3964778,-0.75318617,-0.028252058,-0.43992826
-1.6323097,-0.8122782,-0.3664546,-0.09763565,-0.23368673
-3.1469946,-1.7266843,-1.0717793,-0.3077905,-0.6837915
-0.47050607,0.5774319,0.0903184,-0.4496099,0.452228
-0.024875162,0.6028638,0.3078165,-0.552342,0.06447014
-0.16400447,0.23259585,0.5195161,-0.4588932,0.19537313
-0.4125431,0.39050502,-0.10931286,-0.05003829,0.2037773
-1.2943951,1.802641,0.17912455,-0.738563,0.04838069
-0.4898004,0.08686447,0.4529569,-0.5592996,0.16114198
-0.5337605,0.74499464,0.4315963,-0.6861223,0.10738861
-1.350684,-0.57699925,-0.28699398,-0.39027074,-0.18196563
