subject	AcqGroup
sub-68324615	1
sub-68815227	1
sub-69432240	1
sub-69834040	1
sub-69893307	1
sub-69917732	1
sub-69998789	1
sub-71129515	1
sub-71864421	1
sub-72163639	1
sub-73505225	1
sub-74294441	1
sub-74962248	1
sub-75568586	1
sub-77658943	1
sub-77799851	1
sub-68356591	1
sub-55584582	1
sub-56715113	1
sub-58446307	1
sub-59407454	1
sub-59840159	1
sub-59863142	1
sub-60242992	1
sub-61002694	1
sub-62385046	1
sub-63607535	1
sub-64858250	1
sub-65009263	1
sub-65451275	1
sub-66208918	1
sub-77843430	1
sub-77887810	1
sub-78931269	1
sub-91648085	1
sub-91660063	1
sub-92194810	1
sub-92976018	1
sub-93014211	1
sub-95552064	1
sub-95956758	1
sub-96149833	1
sub-96170416	1
sub-97093978	1
sub-97629988	1
sub-89898536	1
sub-79690817	1
sub-80422846	1
sub-80432870	1
sub-80867435	1
sub-81100447	1
sub-81469157	1
sub-82935788	1
sub-82955584	1
sub-89815569	1
sub-85381302	1
sub-85468322	1
sub-85544201	1
sub-86462268	1
sub-86479979	1
sub-87268108	1
sub-87354723	1
sub-89517686	1
sub-54013870	1
sub-45472938	1
sub-45637721	1
sub-47923038	1
sub-48483125	1
sub-49053259	1
sub-49310075	1
sub-49734277	1
sub-51241296	1
sub-51817772	1
sub-51969467	1
sub-52362466	1
sub-52435098	1
sub-52794258	1
sub-53010813	1
sub-53161629	1
sub-53185465	1
sub-44389992	1
sub-43260742	1
sub-38496047	1
sub-37161337	1
sub-37177457	1
sub-37268577	1
sub-38477418	1
sub-38616157	1
sub-39166472	1
sub-40208338	1
sub-40545510	1
sub-41635233	1
sub-42619111	1
sub-70917649	2
sub-70669392	2
sub-70636113	2
sub-71514280	2
sub-72076711	2
sub-76878571	2
sub-75675336	2
sub-74203334	2
sub-73549281	2
sub-72560222	2
sub-65856136	2
sub-57434619	2
sub-56670427	2
sub-55772716	2
sub-53791255	2
sub-64997274	2
sub-62574447	2
sub-91199969	2
sub-91189485	2
sub-90906596	2
sub-92371267	2
sub-89811231	2
sub-89649999	2
sub-89614402	2
sub-87275819	2
sub-97220113	2
sub-99750088	2
sub-98186040	2
sub-97749823	2
sub-97449632	2
sub-92539409	2
sub-95161041	2
sub-94463356	2
sub-92602617	2
sub-86937852	2
sub-81795552	2
sub-81274534	2
sub-79938680	2
sub-79501267	2
sub-86420222	2
sub-85925902	2
sub-85584353	2
sub-84955962	2
sub-84525776	2
sub-27463113	2
sub-26637867	2
sub-29244108	2
sub-34204855	2
sub-33332646	2
sub-33321607	2
sub-33118460	2
sub-32202457	2
sub-29504823	2
sub-31813134	2
sub-31728786	2
sub-31504924	2
sub-35170130	2
sub-14397423	2
sub-14487402	2
sub-14074375	2
sub-16733667	2
sub-18643192	2
sub-22396591	2
sub-19785885	2
sub-19325445	2
sub-18611216	2
sub-17712202	2
sub-17615774	2
sub-17260313	2
sub-50109639	2
sub-50108336	2
sub-50107295	2
sub-50105851	2
sub-50300958	2
sub-49590907	2
sub-47520485	2
sub-52173227	2
sub-51903261	2
sub-51864085	2
sub-51791453	2
sub-51650969	2
sub-50302842	2
sub-51400993	2
