Notes	ManualCheck	MergeInto	RenameEntitySet	KeyParamGroup	EntitySet	ParamGroup	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	EntitySetCount	FlipAngle	HasFieldmap	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	ParallelAcquisitionTechnique	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	SliceEncodingDirection	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
				acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w__1	acquisition-20160627t1mprnssagpat2iso_datatype-anat_suffix-T1w	1	562	176	256	256	0.00298		624	9.0	False	anat		0	1.0	True		2.0	1.0		2.3			False	1.0	1.0	1.0
				acquisition-MG20120501t2fl3dtraNoSWI_datatype-anat_suffix-FLAIR__1	acquisition-MG20120501t2fl3dtraNoSWI_datatype-anat_suffix-FLAIR	1	448	384	512	160	0.02		548	15.0	False	anat		0	1.0	True		2.0	1.0		0.026			False	0.5	0.5	1.0
				acquisition-20120501t1mprnssagpat2iso_datatype-anat_suffix-T1w__1	acquisition-20120501t1mprnssagpat2iso_datatype-anat_suffix-T1w	1	475	176	256	256	0.00298		526	9.0	False	anat		0	1.0	True		2.0	1.0		2.3			False	1.0	1.0	1.0
				acquisition-200902113DMPRAGEa_datatype-anat_suffix-T1w__1	acquisition-200902113DMPRAGEa_datatype-anat_suffix-T1w	1	288	156	256	256	0.002752		308	8.0	False	anat		0	1.0	False					0.006336			False	1.0	0.9375	0.9375
				acquisition-200902113DMPRAGE_datatype-anat_suffix-T1w__1	acquisition-200902113DMPRAGE_datatype-anat_suffix-T1w	1	286	156	256	256	0.002752		305	8.0	False	anat		0	1.0	False					0.006336			False	1.0	0.9375	0.9375
				acquisition-20160125MPRAGE_datatype-anat_suffix-T1w__1	acquisition-20160125MPRAGE_datatype-anat_suffix-T1w	1	229	181	240	240	0.003685		260	8.0	False	anat		0	1.0	False					0.0080458			False	1.0	1.0	1.0
				acquisition-20120221MPRAGE_datatype-anat_suffix-T1w__1	acquisition-20120221MPRAGE_datatype-anat_suffix-T1w	1	171	181	240	240	0.003686		187	8.0	False	anat		0	1.0	False					0.0080478			False	1.0	1.0	1.0
				acquisition-20150715t1mprnssagpat2iso_datatype-anat_suffix-T1w__1	acquisition-20150715t1mprnssagpat2iso_datatype-anat_suffix-T1w	1	161	176	256	256	0.00298		173	9.0	False	anat		0	1.0	True		2.0	1.0		2.3			False	1.0	1.0	1.0
				acquisition-MG20150715t2fl3dtraNoSWI_datatype-anat_suffix-FLAIR__1	acquisition-MG20150715t2fl3dtraNoSWI_datatype-anat_suffix-FLAIR	1	119	384	512	160	0.02		157	15.0	False	anat		0	1.0	True		2.0	1.0		0.026			False	0.5	0.5	1.0
				acquisition-20160627t1mprnssagpat2isoVARIANTObliquity_datatype-anat_suffix-T1w__1	acquisition-20160627t1mprnssagpat2isoVARIANTObliquity_datatype-anat_suffix-T1w	1	50	176	256	256	0.00298		55	9.0	False	anat		0	1.0	False		2.0	1.0		2.3			False	1.0	1.0	1.0
				acquisition-20140922MPRAGE_datatype-anat_suffix-T1w__1	acquisition-20140922MPRAGE_datatype-anat_suffix-T1w	1	43	181	240	240	0.003686		47	8.0	False	anat		0	1.0	False					0.0080478			False	1.0	1.0	1.0
				acquisition-20150706MPRAGE_datatype-anat_suffix-T1w__1	acquisition-20150706MPRAGE_datatype-anat_suffix-T1w	1	18	181	240	240	0.003685		21	8.0	False	anat		0	1.0	False					0.0080458			False	1.0	1.0	1.0
				acquisition-MG20150715t2fl3dtraNoSWIVARIANTDim3Size_datatype-anat_suffix-FLAIR__1	acquisition-MG20150715t2fl3dtraNoSWIVARIANTDim3Size_datatype-anat_suffix-FLAIR	1	10	384	512	144	0.02		14	15.0	False	anat		0	1.0	True		2.0	1.0		0.026			False	0.5	0.5	1.0
				acquisition-MG20150715t2fl3dtraNoSWIVARIANTDim3Size_datatype-anat_suffix-FLAIR__2	acquisition-MG20150715t2fl3dtraNoSWIVARIANTDim3Size_datatype-anat_suffix-FLAIR	2	3	384	512	128	0.02		14	15.0	False	anat		0	1.0	True		2.0	1.0		0.026			False	0.5	0.5	1.0
				acquisition-20120501t1mprnssagpat2isoVARIANTObliquity_datatype-anat_suffix-T1w__1	acquisition-20120501t1mprnssagpat2isoVARIANTObliquity_datatype-anat_suffix-T1w	1	13	176	256	256	0.00298		13	9.0	False	anat		0	1.0	False		2.0	1.0		2.3			False	1.0	1.0	1.0
				acquisition-20151120MPRAGE_datatype-anat_suffix-T1w__1	acquisition-20151120MPRAGE_datatype-anat_suffix-T1w	1	6	181	240	240	0.003685		8	8.0	False	anat		0	1.0	False					0.0080458			False	1.0	1.0	1.0
				acquisition-200902113DMPRAGEVARIANTEchoTimeRepetitionTime_datatype-anat_suffix-T1w__1	acquisition-200902113DMPRAGEVARIANTEchoTimeRepetitionTime_datatype-anat_suffix-T1w	1	6	156	256	256	0.002748		6	8.0	False	anat		0	1.0	False					0.006332			False	1.0	0.9375	0.9375
				acquisition-MG20120501t2fl3dtraNoSWIVARIANTObliquity_datatype-anat_suffix-FLAIR__1	acquisition-MG20120501t2fl3dtraNoSWIVARIANTObliquity_datatype-anat_suffix-FLAIR	1	6	384	512	160	0.02		6	15.0	False	anat		0	1.0	False		2.0	1.0		0.026			False	0.5	0.5	1.0
				acquisition-20120501t1mprnssagpat2isoVARIANTEchoTimeDim1Size_datatype-anat_suffix-T1w__1	acquisition-20120501t1mprnssagpat2isoVARIANTEchoTimeDim1Size_datatype-anat_suffix-T1w	1	5	160	256	256	0.00296		5	9.0	False	anat		0	1.0	True		2.0	1.0		2.3			False	1.0	1.0	1.0
				acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w__1	acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w	1	1	156	256	256	0.002756		4	8.0	False	anat		0	1.0	True					0.006372			False	1.0000967979431152	0.9375140070915222	0.9375090003013611
				acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w__2	acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w	2	1	156	256	256	0.002768		4	8.0	False	anat		0	1.0	True					0.006376			False	1.0	0.9375	0.9375050067901611
				acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w__3	acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w	3	1	156	256	256	0.00276		4	8.0	False	anat		0	1.0	True					0.006356			False	1.0	0.9375	0.9375050067901611
				acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w__4	acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w	4	1	156	256	256	0.00276		4	8.0	False	anat		0	1.0	True					0.006364			False	1.000022292137146	0.9375	0.9375029802322388
				acquisition-MG20150715t2fl3dtraNoSWIVARIANTObliquity_datatype-anat_suffix-FLAIR__1	acquisition-MG20150715t2fl3dtraNoSWIVARIANTObliquity_datatype-anat_suffix-FLAIR	1	3	384	512	160	0.02		4	15.0	False	anat		0	1.0	False		2.0	1.0		0.026			False	0.5	0.5	1.0
				acquisition-200902113DMPRAGEVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim3_datatype-anat_suffix-T1w__1	acquisition-200902113DMPRAGEVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim3_datatype-anat_suffix-T1w	1	2	156	256	256	0.00276		3	8.0	False	anat		0	1.0	True					0.006356			False	1.0	0.9375	0.9374880194664001
