subject	AcqGroup
sub-62385046	1
sub-63607535	1
sub-64858250	1
sub-65009263	1
sub-65451275	1
sub-66208918	1
sub-68324615	1
sub-68356591	1
sub-68815227	1
sub-69432240	1
sub-69834040	1
sub-69893307	1
sub-69917732	1
sub-69998789	1
sub-71129515	1
sub-71864421	1
sub-72163639	1
sub-73505225	1
sub-74294441	1
sub-61002694	1
sub-49734277	1
sub-51241296	1
sub-51817772	1
sub-51969467	1
sub-52362466	1
sub-52435098	1
sub-52794258	1
sub-53010813	1
sub-53161629	1
sub-53185465	1
sub-54013870	1
sub-55584582	1
sub-56715113	1
sub-58446307	1
sub-59407454	1
sub-59840159	1
sub-59863142	1
sub-60242992	1
sub-74962248	1
sub-75568586	1
sub-89815569	1
sub-89898536	1
sub-91648085	1
sub-91660063	1
sub-92194810	1
sub-92976018	1
sub-93014211	1
sub-95552064	1
sub-95956758	1
sub-96149833	1
sub-96170416	1
sub-97093978	1
sub-97629988	1
sub-89517686	1
sub-81100447	1
sub-77658943	1
sub-77799851	1
sub-77843430	1
sub-77887810	1
sub-78931269	1
sub-79690817	1
sub-80422846	1
sub-80432870	1
sub-80867435	1
sub-87354723	1
sub-81469157	1
sub-82935788	1
sub-82955584	1
sub-85381302	1
sub-85468322	1
sub-85544201	1
sub-86462268	1
sub-86479979	1
sub-87268108	1
sub-49310075	1
sub-49053259	1
sub-21671585	1
sub-13654217	1
sub-13738338	1
sub-14642033	1
sub-15227272	1
sub-17044379	1
sub-17394510	1
sub-17724968	1
sub-19811426	1
sub-20299847	1
sub-20863565	1
sub-21002100	1
sub-21002236	1
sub-21002498	1
sub-13109979	1
sub-13062551	1
sub-01507926	1
sub-03621603	1
sub-05108629	1
sub-05708713	1
sub-05731316	1
sub-07347160	1
sub-11391189	1
sub-08015601	1
sub-08579968	1
sub-09154945	1
sub-09542645	1
sub-11200195	1
sub-22711410	1
sub-48483125	1
sub-23491905	1
sub-37268577	1
sub-38477418	1
sub-38496047	1
sub-38616157	1
sub-39166472	1
sub-40208338	1
sub-40545510	1
sub-41635233	1
sub-42619111	1
sub-43260742	1
sub-44389992	1
sub-45472938	1
sub-45637721	1
sub-47923038	1
sub-37177457	1
sub-37161337	1
sub-37107313	1
sub-30857744	1
sub-24284048	1
sub-25323706	1
sub-27562373	1
sub-28387554	1
sub-28543514	1
sub-28773360	1
sub-29953936	1
sub-30633694	1
sub-36785659	1
sub-31471282	1
sub-32172588	1
sub-32403488	1
sub-32514566	1
sub-32693894	1
sub-00582981	2
sub-70555991	2
sub-70913861	2
sub-72128082	2
sub-68773728	2
sub-67546425	2
sub-67583092	2
sub-68371216	2
sub-69398721	2
sub-69920089	2
sub-76152744	2
sub-75951655	2
sub-72498029	2
sub-57251590	2
sub-57600441	2
sub-57704818	2
sub-55222423	2
sub-60043729	2
sub-65580391	2
sub-65670406	2
sub-66065365	2
sub-66219083	2
sub-64871117	2
sub-64777588	2
sub-62810290	2
sub-63380023	2
sub-77379437	2
sub-77678875	2
sub-91507465	2
sub-89292806	2
sub-89862872	2
sub-90172292	2
sub-95065654	2
sub-88065189	2
sub-97778512	2
sub-97989289	2
sub-99147061	2
sub-80358209	2
sub-80573076	2
sub-81404254	2
sub-82273425	2
sub-80170847	2
sub-78315445	2
sub-87713446	2
sub-83092060	2
sub-83887227	2
sub-19791031	2
sub-19924524	2
sub-15523135	2
sub-15656453	2
sub-15976864	2
sub-16268497	2
sub-16854481	2
sub-23628564	2
sub-24523376	2
sub-24644938	2
sub-21370703	2
sub-22118553	2
sub-15304328	2
sub-06042154	2
sub-06673533	2
sub-00947664	2
sub-01172523	2
sub-02371278	2
sub-02498188	2
sub-03070130	2
sub-13942030	2
sub-14572724	2
sub-12338076	2
sub-26000004	2
sub-43222034	2
sub-43561786	2
sub-44455423	2
sub-44982723	2
sub-45832828	2
sub-45941724	2
sub-46317892	2
sub-46341086	2
sub-42950045	2
sub-42744873	2
sub-40714791	2
sub-42180189	2
sub-42186851	2
sub-50558166	2
sub-51225692	2
sub-52111511	2
sub-52790894	2
sub-50226251	2
sub-46881507	2
sub-47717866	2
sub-49146137	2
sub-49441409	2
sub-49772985	2
sub-26277139	2
sub-30132184	2
sub-30473144	2
sub-31183595	2
sub-29026694	2
sub-28920987	2
sub-26342529	2
sub-26436836	2
sub-33571097	2
sub-33843216	2
sub-37230055	2
sub-38496173	2
sub-38512492	2
sub-35850143	2
sub-35908898	2
sub-66554119	3
sub-61725810	3
sub-62292168	3
sub-63781520	3
sub-64166879	3
sub-65583740	3
sub-66008866	3
sub-66748691	3
sub-72374694	3
sub-68183244	3
sub-68775874	3
sub-68879403	3
sub-69267559	3
sub-60436636	3
sub-60221631	3
sub-50185479	3
sub-50887208	3
sub-51564920	3
sub-52537157	3
sub-54085060	3
sub-54733485	3
sub-54927255	3
sub-55510110	3
sub-55717949	3
sub-59267124	3
sub-70712542	3
sub-88500231	3
sub-89857505	3
sub-91695262	3
sub-92305451	3
sub-92488693	3
sub-92901631	3
sub-95603320	3
sub-73818763	3
sub-95764322	3
sub-97255736	3
sub-98424651	3
sub-87101984	3
sub-86113032	3
sub-85989638	3
sub-74645574	3
sub-75517233	3
sub-75928052	3
sub-78014537	3
sub-78057902	3
sub-80036878	3
sub-81541096	3
sub-82255775	3
sub-82475623	3
sub-82602570	3
sub-83809593	3
sub-83935558	3
sub-85015279	3
sub-49861959	3
sub-02946299	3
sub-19832949	3
sub-15682829	3
sub-16469130	3
sub-16671786	3
sub-16737283	3
sub-17632095	3
sub-18203396	3
sub-18750492	3
sub-20634274	3
sub-26771836	3
sub-21885025	3
sub-23753190	3
sub-23895699	3
sub-25421799	3
sub-26095025	3
sub-14282567	3
sub-03249861	3
sub-04404974	3
sub-04945798	3
sub-05343454	3
sub-07559266	3
sub-09784021	3
sub-10158504	3
sub-10958290	3
sub-12592566	3
sub-12786336	3
sub-49294170	3
sub-40079173	3
sub-43665027	3
sub-44591548	3
sub-27450730	3
sub-45352543	3
sub-45795112	3
sub-48356605	3
sub-48363154	3
